04,APT,,"S3_2,S3_7E,PHSN20_N,MTS01_3,S2_1E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Pelaw via Newcastle.  The next station is Callerton Parkway. Please take care if using the level crossing
07,APT,,"S3_2,S3_7E,PHSN27_E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to St James.  The next station is Callerton Parkway. Please take care if using the level crossing
10,APT,,"S3_2,S3_7E,PHSN13_E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Haymarket.  The next station is Callerton Parkway. Please take care if using the level crossing
11,APT,,"S3_2,S3_7E,PHSN05_E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Kingston Park.  The next station is Callerton Parkway. Please take care if using the level crossing
13,APT,,"S3_2,S3_7E,PHSN08_E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Regent Centre.  The next station is Callerton Parkway. Please take care if using the level crossing
14,APT,,"S3_2,S3_7E,PHSN19_N,MTS01_3,S2_1E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Heworth via Newcastle.  The next station is Callerton Parkway. Please take care if using the level crossing
20,APT,,"S3_2,S3_7E,PHSN14_E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Monument.  The next station is Callerton Parkway. Please take care if using the level crossing
42,APT,,"S3_2,S3_7E,PHSN54_N,MTS01_3,S2_1E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Sunderland via Newcastle.  The next station is Callerton Parkway. Please take care if using the level crossing
44,APT,,"S3_2,S3_7E,PHSN55_N,MTS01_3,S2_1E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to Park Lane via Newcastle.  The next station is Callerton Parkway. Please take care if using the level crossing
45,APT,,"S3_2,S3_7E,PHSN59_N,MTS01_3,S2_1E,PAUSE1,MTS26_2,PHSN03_E,PAUSE1,S3_64",,This train is for all stations to South Hylton via Newcastle.  The next station is Callerton Parkway. Please take care if using the level crossing
04,CAL,"MST01,PHSN03_E","MTS26_2,PHSN04_E,PAUSE1,S3_64",This is<>Callerton Parkway,The next station is Bankfoot. Please take care if using the level crossing
07,CAL,"MST01,PHSN03_E","MTS26_2,PHSN04_E,PAUSE1,S3_64",This is<>Callerton Parkway,The next station is Bankfoot. Please take care if using the level crossing
10,CAL,"MST01,PHSN03_E","MTS26_2,PHSN04_E,PAUSE1,S3_64",This is<>Callerton Parkway,The next station is Bankfoot. Please take care if using the level crossing
11,CAL,"MST01,PHSN03_E","MTS26_2,PHSN04_E,PAUSE1,S3_64",This is<>Callerton Parkway,The next station is Bankfoot. Please take care if using the level crossing
13,CAL,"MST01,PHSN03_E","MTS26_2,PHSN04_E,PAUSE1,S3_64",This is<>Callerton Parkway,The next station is Bankfoot. Please take care if using the level crossing
14,CAL,"MST01,PHSN03_E","MTS26_2,PHSN04_E,PAUSE1,S3_64",This is<>Callerton Parkway,The next station is Bankfoot. Please take care if using the level crossing
