01,SJM,,"S3_2,S3_3M,PHSN02_N,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Airport. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
02,SJM,,"S3_2,S3_3M,PHSN26_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to South Shields. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
04,SJM,,"S3_2,S3_3M,PHSN20_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Pelaw. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
05,SJM,,"S3_2,S3_3M,PHSN45_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Benton. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
06,SJM,,"S3_2,S3_3M,PHSN37_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to North Shields. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
10,SJM,,"S3_2,S3_3M,PHSN13_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Haymarket. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
14,SJM,,"S3_2,S3_3M,PHSN19_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Heworth. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
16,SJM,,"S3_2,S3_3M,PHSN32_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Wallsend. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
17,SJM,,"S3_2,S3_3M,PHSN28_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Manors. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
20,SJM,,"S3_2,S3_3M,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Monument.  Change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
21,SJM,,"S3_1,S3_4E,PAUSE1,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train terminates at the next station, Monument.  Change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
24,SJM,,"S3_2,S3_3M,PHSN41_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Monkseaton. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
26,SJM,,"S3_2,S3_3M,PHSN38_E,PAUSE1,MTS26_2,PHSN14_E,PAUSE1,S3_10,S3_11M,S3_55",,"This train is for all stations to Tynemouth. The next station is Monument, change here for trains to South Shields, South Hylton, Airport and Whitley Bay via Four Lane Ends, and local bus services"
