male/MCM03,Please await further instruction.,EOS
female/MCY01,Welcome to Metro.,MOS
male/MCY02,...apologies for the inconvenience.,EOS
female/MCY02,Metro apologises for the inconvenience.,EOS
male/MCY04,...with information for passengers at...,MOS
female/MDD08_ALT,The service will resume as soon as we have clearance from the emergency services.,EOS
female/MDD09_ALT,Metro passenger services will keep you updated using the Public Address system. Any further information required can be obtained using your nearest help point.,EOS
male/MEQ06_2,...we will test the fire alarm system.,EOS
male/MEQ10_3,Therefore would passengers requiring the use of a lift please use platform 2.,MOS
male/MRI12,Please do not leave luggage unattended anywhere in the station.,EOS
female/MRI15,There is currently no automated train information available.,EOS
male/MSE01_2,...wish all passengers a happy...,MOS
female/MSE01,The Metro staff wish all passengers a happy...,BOS
male/MTS23_5,Newcastle only. Metro passenger services will make further announcements giving train destinations.,EOS
female/MST04_1,...is not permitted in any part of the Metro railway.,MOS
female/MST04_2,Please refrain from...,MOS
female/MST04_3,...at all times when on Metro premises and trains.,MOS
female/MTS10_2,...will not stop at this station. Will passengers please stand clear at the platform edge.,EOS
PHIN01_N,...a technical fault on the train.,MOS
PHIN01_E,...a technical fault on the train.,EOS
PHIN02_N,...a signalling fault...,MOS
PHIN02_E,...a signalling fault.,EOS
PHIN03_N,...a problem with the power supply...,MOS
PHIN03_E,...a problem with the power supply.,EOS
PHIN04_N,...someone on the track...,MOS
PHIN04_E,...someone on the track.,EOS
PHIN05_N,...a station fire...,MOS
PHIN05_E,...a station fire.,EOS
PHIN06_N,...a tunnel fire...,MOS
PHIN06_E,...a tunnel fire.,EOS
PHIN07_N,...a track-side fire...,MOS
PHIN07_E,...a track-side fire.,EOS
PHIN08_N,...police action...,MOS
PHIN08_E,...police action.,EOS
PHIN09_N,...an ambulance attending...,MOS
PHIN09_E,...an ambulance attending.,EOS
PHIN10_N,...a technical fault...,MOS
PHIN10_E,...a technical fault.,EOS
PHIN11_N,...operational reasons...,MOS
PHIN11_E,...operational reasons.,EOS
PHIN12_N,...vandalism...,MOS
PHIN12_E,...vandalism.,EOS
PHWE01_N,...flooding...,MOS
PHWE02_N,...high winds...,MOS
PHWE03_N,...ice...,MOS
PHWE04_N,...snow...,MOS
PHWE05_N,...risk of lightning...,MOS
PHSN01_N,...the coast...,MOS
PHSN01_E,...the coast.,EOS
